Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,injuries,dead,Victims,Vehicle Involved,Latitude,Longitude,Vehicle Type,Year
183,Manikganj,, heMayetpur_manikganj_road,Wednesday,June,20,15,Afternoon,6,1,7,2,23.806247,90.196778,three_wheeler_van,2018
184,Brahmanbaria,, dhaka_sylhet_highway,Wednesday,June,20,12,Morning,0,3,3,2,23.838621,90.617718,truck_car,2018
185,Khulna,dumuria_upazila,,Thursday,June,21,12,Morning,23,5,28,1,22.828086,89.452371,bus,2018
186,Bhola,helipad_area_charfassion_upazila,,Thursday,June,21,9,Morning,0,2,2,2,22.192931,90.722919,others,2018
187,Kishoreganj, pakundia_upazila,,Thursday,June,21,14,Afternoon,11,1,12,2,24.327819,90.679693,bus_van,2018
188,Khagrachhari, lemuchhari_sadar_upazila,,Thursday,June,21,11,Morning,0,1,1,2,23.110279,91.988017,bus_cycle,2018
189,Naogaon,sapahar,,Thursday,June,21,16,Afternoon,4,3,7,2,25.12477,88.588214,truck_rickshaw,2018
190,Naogaon, badalgachhi,,Thursday,June,21,13,Afternoon,3,1,4,2,24.968345,88.913706,truck_rickshaw,2018
191,Chittagong, raozan_upazila, chittagang_rangamati_upazila,Friday,June,22,16,Afternoon,0,3,3,1,22.661094,92.167399,bus,2018
192,Sirajganj, bhuiagati_raiganj_upazila,,Friday,June,22,15,Afternoon,20,2,22,1,24.519617,89.532394,bus,2018
193,Jhenaidah,, jhenidah_Kushtia_highway,Friday,June,22,14,Afternoon,0,1,1,2,23.733375,89.143503,van_cycle,2018
194,Jessore,, chaugachha_jhikrgachha_road,Friday,June,22,12,Morning,0,1,1,1,23.100511,89.099289,bus,2018
195,Sirajganj,, bonpara_hatikumrul_highway,Sunday,June,24,7,Morning,0,2,2,2,24.423197,89.575531,bus_van,2018
196,Dhaka, savar, dhaka_aricha_highway,Sunday,June,24,8,Morning,0,1,1,2,23.890279,90.034334,van_cycle,2018
197,Chittagong, port_city,,Sunday,June,24,4,Morning,1,0,1,1,22.360651,91.794992,truck,2018
198,Sirajganj, zila_porishad_office_district town,,Sunday,June,24,10,Morning,1,0,1,1,24.443984,89.680961,others,2018
199,Mymensingh,,,Monday,June,25,14,Afternoon,0,2,2,2,24.745173,90.414692,bus_three_wheeler,2018
200,Gaibandha, kalitonla_gobindaganj_upazila,,Monday,June,25,12,Morning,4,1,5,1,25.138757,89.381247,bus,2018
